Chapter;Latin Text;Old High German Text;Biblical References
Prologus, 1; Quoniam quidem multi conati sunt ordinare narrationem quae in nobis completae sunt rerum,;Bithiu uuanta manage zilotun ordinon saga thio in ûns gifulta sint rahhono,;Lc 1 1
Prologus, 2; Sicut tradiderunt nobis qui ab initio ipsi viderant et ministri fuerunt sermonis,;Só ûns saltun thie thar fon anaginne selbon gisahun inti ambahta uuarun uuortes,;Lc 1 2
Prologus, 3; Visum est et mihi assecuto a principio omnibus diligenter ex ordine tibi scribere, optime Theophile,;Uuas mir gisehan gifolgentemo fon anaginne allem gernlihho after antreitu thir scriben, thû bezzisto Theophile,;Lc 1 3
Prologus, 4; Ut cognoscas eorum verborum de quibus eruditus es veritatem.;Thaz thû forstantes thero uuorto fon them thû gilerit bist uuâr.;Lc 1 4
I , 1; In principio erat verbum et verbum erat apud deum et deus erat verbum.;In anaginne uuas uuort inti thaz uuort uuas mit gote inti got selbo uuas thaz uuort.;Jn 1 1
I , 2;Hoc erat in principio apud deum.  Omnia per ipsum facta sunt et sine ipso factum est nihil quod factum est.;Thaz uuas in anaginne mit gote. Alliu thuruh thaz vvurdun gitán inti ûzzan sín ni uuas uuiht gitanes thaz thar gitán uuas.;Jn 1 2-3
I , 3; In ipso vita erat et vita erat lux hominum.;Thaz uuas in imo lîb inti thaz lib uuas lioht manno.;Jn 1 4
I , 4; Et lux in tenebris lucet et tenebrae eam non comprehenderunt.;Inti thaz lioht in finstarnessin liuhta inti finstarnessi thaz ni bigriffun.;Jn 1 5
II , 1; Fuit in diebus Herodis regis Iudeæ quidam sacerdos nomine Zacharias de vice Abia et uxor illi de filiabus Aaron et nomen eius Elisabeth.;Uuas in tagun Herodes thes cuninges Iudeno sumer biscof namen Zacharias fon themo uuehsale Abiases inti quena imo fon Aarones tohterun inti ira namo uuas Elisabeth.;Lc 1 5
II , 2;Erant autem iusti ambo ante deum, incedentes in omnibus mandatis et iustificationibus domini sine quærela.  Et non erat illis filius, eo quod esset Elisabeth sterilis et ambo processissent in diebus suis.;Siu uuarun rehtiu beidu fora gote, gangenti in allem bibotun inti in gotes rehtfestin uzzan lastar, inti ni uuard in sun, bithiu uuanta Elisabeth uuas unberenti inti beidu framgigiengun in iro tagun.;Lc 1 6-7
II , 3;Factum est autem cum sacerdotio fungeretur in ordine vicis suæ ante deum,  secundum consuetudinem sacerdotii, sorte exiit, ut incensum poneret ingressus in templum domini,  et omnis multitudo erat populi orans foris hora incensi.;Uuard thô, mit thiu her in biscofheite giordinot uuas in antreitu sines uuehsales fora gote, after giuuonu thes biscofheites, in lôzze framgieng, thaz her uuihrouh branti ingangenti in gotes tempal, inti al thiu menigi uuas thes folkes ûzze betonti in thero ziti thes rouhennes.;Lc 1 8-9
II , 4;Apparuit autem illi angelus domini, stans a dextris altaris incensi.  Et Zacharias turbatus est videns, et timor inruit super eum.;Araugta sih imo gotes engil, stantenti in zeso thes altares thero uuihrouhbrunsti. Thanan tho Zacharias uuard gitruobit thaz sehenti, inti forhta anafiel ubar inan.;Lc 1 11-12
II , 5; Ait autem ad illum angelus: Ne timeas, Zacharia,quoniam exaudita est deprecatio tua et uxor tua Elysabeth pariet tibi filium, et vocabis nomen eius Iohannem.;Quad thô zi imo thie engil: ni forhti thu thir, Zacharias, uuanta gihorit ist thin gibet, inti thin quena Elysabeth gibirit thir sun, inti nemnis thû sinan namon Iohannem.;Lc 1 13
